course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,COURSE,5.0,Beginner,1500
Infectious Disease Modelling,Imperial College London,SPECIALIZATION,5.0,Intermediate,1600
Blockchain Revolution in Financial Services,INSEAD,SPECIALIZATION,4.6,Beginner,1600
Healthcare Law,University of Pennsylvania,SPECIALIZATION,4.7,Intermediate,1700
"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",(ISC)²,COURSE,4.9,Beginner,1700
The Pronunciation of American English,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,1700
Esports,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,1800
Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,COURSE,4.8,Intermediate,1900
International Security Management,Erasmus University Rotterdam,COURSE,4.5,Beginner,2200
Implementing RPA with Cognitive Automation and Analytics,Automation Anywhere,SPECIALIZATION,4.6,Beginner,2200
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.6,Mixed,2300
AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2400
Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,COURSE,4.4,Beginner,2400
Introduction to Cloud Computing,IBM,COURSE,4.6,Beginner,2600
SAS Visual Business Analytics,SAS,PROFESSIONAL CERTIFICATE,4.6,Beginner,2600
Access Controls,(ISC)²,COURSE,4.6,Beginner,2900
Queering Identities: LGBTQ+ Sexuality and Gender Identity,University of Colorado System,COURSE,4.9,Beginner,3000
Data Engineering on Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.4,Intermediate,3000
Russian Alphabet,Saint Petersburg State University,COURSE,4.7,Beginner,3200
Foundations of Public Health Practice,Imperial College London,SPECIALIZATION,4.8,Beginner,3200
Palliative Care: It's Not Just Hospice Anymore,University of Colorado System,SPECIALIZATION,4.8,Beginner,3200
IBM Customer Engagement Specialist Professional Certificate,IBM,COURSE,4.8,Beginner,3300
Effective Compliance Programs,University of Pennsylvania,COURSE,4.9,Mixed,3400
IBM AI Enterprise Workflow,IBM,SPECIALIZATION,4.4,Advanced,3500
Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,COURSE,4.6,Intermediate,3600
Good with Words: Writing and Editing,University of Michigan,SPECIALIZATION,4.6,Beginner,3800
Unraveling the Cycling City,University of Amsterdam,COURSE,4.9,Intermediate,3900
Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,Beginner,3900
Swift 5 iOS Application Developer,LearnQuest,SPECIALIZATION,4.5,Beginner,3900
AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4000
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Tecnológico de Monterrey,SPECIALIZATION,4.6,Beginner,4000
Developing Applications with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.8,Intermediate,4000
Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,COURSE,4.8,Beginner,4100
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,COURSE,4.8,Intermediate,4100
Architecting with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,Intermediate,4200
Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.7,Intermediate,4200
Social Policy for Social Services & Health Practitioners,Columbia University,SPECIALIZATION,4.8,Beginner,4200
Japanese for beginners 1,Saint Petersburg State University,COURSE,4.6,Beginner,4400
Formulación y evaluación de proyectos complejos,Universidad de los Andes,COURSE,4.9,Intermediate,4400
Dentistry 101,University of Michigan,COURSE,4.7,Beginner,4500
Introdução aos Princípios e Práticas da Gestão De Projetos,Universidade de São Paulo,SPECIALIZATION,4.9,Beginner,4500
Climate Change and Health: From Science to Action,Yale University,SPECIALIZATION,4.6,Beginner,4800
Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,4800
Fundraising and Development,"University of California, Davis",SPECIALIZATION,4.6,Beginner,4900
Supply Chain Finance and Blockchain Technology,New York Institute of Finance,SPECIALIZATION,4.6,Intermediate,4900
The Teacher and Social and Emotional Learning (SEL),University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,5200
Reporting extra-financier et stratégie RSE,ESSEC Business School,COURSE,4.7,Beginner,5200
Newborn Baby Care,University of Colorado System,SPECIALIZATION,4.8,Beginner,5300
(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5300
Troubles du spectre de l'autisme : diagnostic,University of Geneva,COURSE,4.9,Intermediate,5400
Health Information Literacy for Data Analytics,"University of California, Davis",SPECIALIZATION,4.5,Intermediate,5400
Homeland Security and Cybersecurity,University of Colorado System,SPECIALIZATION,4.7,Beginner,5500
Healthcare Organization Operations,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner,5500
Curanderismo: Traditional Healing Using Plants,University of New Mexico,COURSE,4.6,Beginner,5500
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,COURSE,4.8,Beginner,5600
Sales Operations/Management,West Virginia University,SPECIALIZATION,4.4,Beginner,5600
Computational Social Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,5800
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,COURSE,4.6,Intermediate,5800
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,COURSE,4.7,Intermediate,5900
Introduction to Intellectual Property,University of Pennsylvania,COURSE,4.8,Beginner,6000
Unity Certified Programmer Exam Preparation,Unity,SPECIALIZATION,4.5,Intermediate,6100
Optical Engineering,University of Colorado Boulder,SPECIALIZATION,4.2,Advanced,6200
What is Compliance?,University of Pennsylvania,COURSE,4.8,Mixed,6200
"L'impact investing, la finance qui change le monde",ESSEC Business School,SPECIALIZATION,4.6,Beginner,6300
Secure Coding Practices,"University of California, Davis",SPECIALIZATION,4.4,Intermediate,6400
Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,University of Colorado Boulder,COURSE,4.9,Beginner,6400
Epidemiology for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,6400
Becoming a Sports Agent,Case Western Reserve University,COURSE,4.7,Beginner,6500
Financial Technology (Fintech) Innovations,University of Michigan,SPECIALIZATION,4.7,Beginner,6500
Intercultural Management,ESCP Business School,COURSE,4.6,Beginner,6500
Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6600
Aprende a programar con Python,Universidad Austral,SPECIALIZATION,4.2,Beginner,6600
Sample-based Learning Methods,University of Alberta,COURSE,4.8,Intermediate,6800
Russian for beginners А1. Русский язык: A1,Saint Petersburg State University,SPECIALIZATION,4.7,Beginner,7000
EMT Foundations,University of Colorado System,COURSE,4.8,Beginner,7100
Requirements Engineering: Secure Software  Specifications,University of Colorado System,SPECIALIZATION,4.6,Beginner,7200
The Economics of Health Care Delivery,University of Pennsylvania,COURSE,4.8,Mixed,7200
Legal Tech & Startups,IE Business School,COURSE,4.5,Intermediate,7200
Equine Welfare and Management,"University of California, Davis",COURSE,4.8,Beginner,7200
Building Batch Data Pipelines on GCP,Google Cloud,COURSE,4.5,Intermediate,7300
Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,Intermediate,7300
Hardware Description Languages for FPGA Design,University of Colorado Boulder,COURSE,4.2,Intermediate,7400
Global Trends for Business and Society,University of Pennsylvania,COURSE,4.8,Mixed,7600
"Ready, Set, Future! Introduction to Futures Thinking",Institute for the Future,COURSE,4.8,Beginner,7700
Corporate Strategy,UCL School of Management,COURSE,4.8,Beginner,7800
Supply Chain Analytics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,7900
Entrepreneurial Finance: Strategy and Innovation,Duke University,SPECIALIZATION,4.5,Intermediate,7900
Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,7900
Developing Industrial Internet of Things,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate,8000
L'excellence opérationnelle en pratique,ESSEC Business School,COURSE,4.7,Beginner,8000
Health Informatics,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,8100
Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,COURSE,4.8,Mixed,8100
Dermatology: Trip to skin,Novosibirsk State University ,COURSE,4.4,Beginner,8200
Mastering Final Cut Pro,LearnQuest,COURSE,4.6,Beginner,8400
Teach English Now! Teaching Language Online,Arizona State University,COURSE,4.4,Intermediate,8500
Intellectual Property Law,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,8700
Patient Safety,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,8800
Soporte de Tecnologías de la Información de Google,Crece con Google,PROFESSIONAL CERTIFICATE,4.9,Beginner,8800
Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,SPECIALIZATION,4.5,Beginner,8800
Periodismo digital y combate a las fake news,Universidad Nacional Autónoma de México,COURSE,4.9,Beginner,8900
Digital Advertising Strategy,University of Colorado Boulder,SPECIALIZATION,4.4,Beginner,9000
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,COURSE,4.7,Intermediate,9100
Palo Alto Networks Cybersecurity,Palo Alto Networks,SPECIALIZATION,4.6,Beginner,9100
School Health for Children and Adolescents,University of Colorado System,SPECIALIZATION,4.8,Beginner,9100
Strategic Sales Management,Fundação Instituto de Administração,SPECIALIZATION,4.5,Intermediate,9200
Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,SPECIALIZATION,4.8,Intermediate,9200
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9200
The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,COURSE,4.9,Intermediate,9400
Sustainable Tourism – promoting environmental public health,University of Copenhagen,COURSE,4.6,Beginner,9400
Futures Thinking,Institute for the Future,SPECIALIZATION,4.8,Beginner,9400
Strategic Business Management - Microeconomics,"University of California, Irvine",COURSE,4.7,Beginner,9500
University Teaching,The University of Hong Kong,COURSE,4.8,Beginner,9500
Boosting Creativity for Innovation,HEC Paris,COURSE,4.9,Beginner,9500
FinTech Law and Policy,Duke University,COURSE,4.8,Beginner,9700
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,Advanced,9700
Instructional Methods in Health Professions Education,University of Michigan,COURSE,4.6,Intermediate,9700
Русский как иностранный,Saint Petersburg State University,SPECIALIZATION,4.6,Intermediate,9800
Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9900
"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,COURSE,4.8,Beginner,10000
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,COURSE,4.6,Mixed,10000
Financial Acumen for Non-Financial Managers,University of Pennsylvania,COURSE,4.5,Beginner,10000
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate,10000
Global Energy and Climate Policy,SOAS University of London,COURSE,4.5,Beginner,10000
Business Transformation with Google Cloud,Google Cloud,COURSE,4.7,Beginner,10000
Information Visualization,New York University,SPECIALIZATION,4.6,Beginner,10000
Graphic Design Elements for Non-Designers,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,10000
Practical Data Science with MATLAB,MathWorks,SPECIALIZATION,4.7,Beginner,10000
Les Fondamentaux de la Négociation,ESSEC Business School,COURSE,4.7,Beginner,10000
Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,COURSE,4.9,Beginner,10000
G Suite Administration,Google Cloud,SPECIALIZATION,4.7,Beginner,10000
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11000
The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",COURSE,4.8,Beginner,11000
Summary Statistics in Public Health,Johns Hopkins University,COURSE,4.8,Beginner,11000
Strategy and Sustainability,IESE Business School,COURSE,4.6,Beginner,11000
Understanding Modern Finance,American Institute of Business and Economics,SPECIALIZATION,4.4,Intermediate,11000
International migrations: a global issue,Sciences Po,COURSE,4.6,Beginner,11000
"Everyday Excel, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,11000
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,COURSE,4.8,Mixed,11000
Antibiotic Stewardship,Stanford University,COURSE,4.5,Advanced,11000
Managerial Accounting Fundamentals,University of Virginia,COURSE,4.9,Beginner,11000
Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,11000
Write A Feature Length Screenplay For Film Or Television,Michigan State University,COURSE,4.9,Beginner,12000
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,COURSE,4.7,Beginner,12000
Unity XR: How to Build AR and VR Apps,Unity,SPECIALIZATION,4.2,Beginner,12000
Influencer Marketing Strategy,Rutgers the State University of New Jersey,COURSE,4.4,Intermediate,12000
